         1522524 function calls (1487563 primitive calls) in 4.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.001    0.000    0.002    0.000 _docscrape.py:591(get_func)
       13    0.000    0.000    0.002    0.000 accessor.py:176(add_delegate_accessors)
        1    0.000    0.000    0.002    0.002 resample.py:1(<module>)
        1    0.000    0.000    0.002    0.002 builder.py:189(IRBuilder)
     1975    0.002    0.000    0.002    0.000 typing.py:840(<genexpr>)
    28/22    0.000    0.000    0.002    0.000 _distribution_infrastructure.py:1136(wrapped)
       14    0.000    0.000    0.002    0.000 typing.py:1745(__getitem_inner__)
     1711    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     1304    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1653    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
       13    0.001    0.000    0.002    0.000 accessor.py:63(_add_delegate_accessors)
        1    0.000    0.000    0.002    0.002 managers.py:1(<module>)
     1876    0.002    0.000    0.002    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.002    0.002 ffi.py:1(<module>)
     1830    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.002    0.002 cb_rules.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _multivariate.py:2694(__init__)
        1    0.000    0.000    0.002    0.002 targets.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
       13    0.000    0.000    0.002    0.000 extending.py:398(intrinsic)
       25    0.000    0.000    0.002    0.000 dtypes.py:30(_add_dtype_helper)
        1    0.000    0.000    0.002    0.002 _arraysetops_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 arrow_parser_wrapper.py:1(<module>)
        1    0.000    0.000    0.002    0.002 errors.py:1(<module>)
        6    0.000    0.000    0.002    0.000 getlimits.py:35(__init__)
        1    0.000    0.000    0.002    0.002 dufunc.py:1(<module>)
      213    0.001    0.000    0.002    0.000 _docscrape.py:531(_str_index)
       49    0.000    0.000    0.002    0.000 core.py:129(get_object_signature)
      579    0.002    0.000    0.002    0.000 inspect.py:302(isclass)
        1    0.000    0.000    0.002    0.002 templates.py:1(<module>)
        1    0.000    0.000    0.002    0.002 blas.py:1(<module>)
       13    0.000    0.000    0.002    0.000 extending.py:435(_intrinsic)
        1    0.000    0.000    0.002    0.002 _polynomial_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ufuncbuilder.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _distribution_infrastructure.py:1506(UnivariateDistribution)
        1    0.000    0.000    0.002    0.002 decorator.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _multivariate.py:2009(__init__)
       64    0.000    0.000    0.002    0.000 _internal.py:14(get_xp)
      7/6    0.000    0.000    0.002    0.000 __init__.py:621(get_config_var)
     1519    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.002    0.002 _add_newdocs_scalars.py:1(<module>)
       22    0.000    0.000    0.002    0.000 arrayprint.py:550(wrapper)
     1525    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.002    0.002 _core.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _ode.py:1(<module>)
        1    0.000    0.000    0.002    0.002 nrt.py:1(<module>)
        1    0.000    0.000    0.002    0.002 groupby.py:1227(GroupBy)
      144    0.001    0.000    0.002    0.000 <frozen _collections_abc>:473(__new__)
        1    0.000    0.000    0.002    0.002 serialize.py:1(<module>)
       13    0.000    0.000    0.002    0.000 typing.py:1646(__getitem__)
        1    0.000    0.000    0.002    0.002 old_scalars.py:1(<module>)
     1021    0.002    0.000    0.002    0.000 functools.py:66(wraps)
        1    0.000    0.000    0.002    0.002 cast.py:1(<module>)
      553    0.001    0.000    0.002    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.002    0.002 postproc.py:1(<module>)
      9/7    0.000    0.000    0.002    0.000 __init__.py:581(get_config_vars)
        1    0.000    0.000    0.002    0.002 _measurements.py:1(<module>)
        1    0.000    0.000    0.002    0.002 difflib.py:1(<module>)
     1648    0.002    0.000    0.002    0.000 _parser.py:112(__init__)
       92    0.000    0.000    0.002    0.000 auxfuncs.py:630(l_not)
      445    0.001    0.000    0.002    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.002    0.002 ipaddress.py:1579(_IPv4Constants)
        1    0.000    0.000    0.002    0.002 _rgi.py:1(<module>)
      553    0.001    0.000    0.002    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.002    0.002 lsq_linear.py:1(<module>)
     1560    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.002    0.002 _type_check_impl.py:1(<module>)
        4    0.000    0.000    0.002    0.001 _version.py:55(__init__)
        2    0.000    0.000    0.002    0.001 glob.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _optional.py:85(import_optional_dependency)
      133    0.001    0.000    0.002    0.000 expr.py:182(<genexpr>)
      297    0.002    0.000    0.002    0.000 __init__.py:416(__getitem__)
        1    0.000    0.000    0.002    0.002 __init__.py:503(_init_config_vars)
        1    0.000    0.000    0.002    0.002 encoder.py:1(<module>)
     1667    0.002    0.000    0.002    0.000 {built-in method _sre.unicode_tolower}
        6    0.000    0.000    0.002    0.000 _distribution_infrastructure.py:1597(__init__)
        1    0.000    0.000    0.002    0.002 contexts.py:1(<module>)
      534    0.001    0.000    0.002    0.000 _inspect.py:41(iscode)
       26    0.000    0.000    0.002    0.000 core.py:7101(__init__)
       28    0.000    0.000    0.002    0.000 _distribution_infrastructure.py:305(get_numerical_endpoints)
        1    0.000    0.000    0.002    0.002 _ni_docstrings.py:1(<module>)
       21    0.000    0.000    0.002    0.000 ipaddress.py:1512(__init__)
       63    0.000    0.000    0.002    0.000 _axis_nan_policy.py:291(_get_axis_params)
     1568    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:653(has_location)
       62    0.000    0.000    0.002    0.000 _array_api.py:757(xp_capabilities)
       64    0.000    0.000    0.002    0.000 inspect.py:2850(__str__)
        1    0.000    0.000    0.002    0.002 __init__.py:12(__getattr__)
        1    0.000    0.000    0.002    0.002 stata.py:1(<module>)
  183/181    0.000    0.000    0.002    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.002    0.002 multi.py:1(<module>)
        1    0.000    0.000    0.002    0.002 doccer.py:263(filldoc)
      319    0.001    0.000    0.002    0.000 function_base.py:455(_needs_add_docstring)
        1    0.000    0.000    0.002    0.002 doccer.py:292(unindent_dict)
     1456    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
       26    0.000    0.000    0.002    0.000 core.py:7107(getdoc)
        1    0.000    0.000    0.002    0.002 ewm.py:133(ExponentialMovingWindow)
        1    0.000    0.000    0.002    0.002 _compressed.py:1(<module>)
        1    0.000    0.000    0.002    0.002 coverage_support.py:1(<module>)
       15    0.000    0.000    0.002    0.000 doccer.py:311(unindent_string)
      135    0.001    0.000    0.002    0.000 <frozen os>:712(__getitem__)
       68    0.000    0.000    0.002    0.000 functools.py:878(register)
      120    0.001    0.000    0.002    0.000 dataclasses.py:437(add_fn)
     1425    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
       60    0.000    0.000    0.002    0.000 inspect.py:2008(_signature_get_user_defined_method)
      488    0.001    0.000    0.002    0.000 typing.py:1819(__eq__)
        1    0.000    0.000    0.002    0.002 _nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 arpack.py:1(<module>)
        1    0.000    0.000    0.002    0.002 linsolve.py:1(<module>)
     1298    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
        6    0.000    0.000    0.002    0.000 _distribution_infrastructure.py:1616(_update_parameters)
        3    0.000    0.000    0.002    0.001 timedeltas.py:1(<module>)
      462    0.001    0.000    0.002    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.002    0.002 expressions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 config.py:179(process_environ)
        1    0.000    0.000    0.002    0.002 resample.py:121(Resampler)
        1    0.000    0.000    0.002    0.002 mstats.py:1(<module>)
    347/1    0.001    0.000    0.002    0.002 __config__.py:19(_cleanup)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
      289    0.001    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
     1161    0.002    0.000    0.002    0.000 {method 'capitalize' of 'str' objects}
       25    0.000    0.000    0.002    0.000 typing.py:2085(__init__)
        1    0.000    0.000    0.002    0.002 console.py:1(<module>)
        1    0.000    0.000    0.002    0.002 generic.py:154(SeriesGroupBy)
        1    0.000    0.000    0.002    0.002 melt.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _direct_py.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _fftlog.py:1(<module>)
      380    0.001    0.000    0.002    0.000 enum.py:829(__setattr__)
      439    0.001    0.000    0.002    0.000 enum.py:47(_is_dunder)
       14    0.000    0.000    0.002    0.000 typing.py:1727(copy_with)
      144    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        8    0.000    0.000    0.002    0.000 nanops.py:68(__init__)
        1    0.000    0.000    0.002    0.002 printoptions.py:1(<module>)
     1301    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1181(__init__)
      303    0.001    0.000    0.002    0.000 templates.py:1258(register_global)
        2    0.000    0.000    0.002    0.001 _strptime.py:181(__calc_date_time)
        4    0.000    0.000    0.002    0.000 transforms.py:1(<module>)
        1    0.000    0.000    0.002    0.002 arraylike.py:1(<module>)
       22    0.000    0.000    0.002    0.000 decorators.py:239(njit)
        3    0.000    0.000    0.002    0.001 basic.py:1(<module>)
     1301    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1014(create_module)
        1    0.000    0.000    0.002    0.002 byteflow.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _root_scalar.py:1(<module>)
       23    0.000    0.000    0.002    0.000 nanops.py:70(<genexpr>)
     1301    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1206(get_filename)
        1    0.000    0.000    0.002    0.002 asserters.py:1(<module>)
       12    0.000    0.000    0.002    0.000 extension.py:125(wrapper)
        1    0.000    0.000    0.002    0.002 _distribution_infrastructure.py:2297(entropy)
        1    0.000    0.000    0.002    0.002 arraylike.py:31(OpsMixin)
        1    0.000    0.000    0.002    0.002 values.py:84(_ConstOpMixin)
       21    0.000    0.000    0.002    0.000 tempfile.py:816(TemporaryFile)
       21    0.001    0.000    0.002    0.000 typing.py:1939(_get_protocol_attrs)
        1    0.000    0.000    0.002    0.002 _shape_base_impl.py:1(<module>)
       15    0.000    0.000    0.002    0.000 _distribution_infrastructure.py:3136(moment)
       15    0.000    0.000    0.002    0.000 common.py:1606(pandas_dtype)
        1    0.000    0.000    0.002    0.002 _page_trend_test.py:1(<module>)
      100    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.002    0.002 funcdesc.py:1(<module>)
     1251    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1601(<genexpr>)
        1    0.000    0.000    0.002    0.002 _distribution_infrastructure.py:2317(_entropy_quadrature)
       62    0.001    0.000    0.002    0.000 _array_api.py:682(_make_sphinx_capabilities)
        2    0.000    0.000    0.002    0.001 period.py:1(<module>)
       42    0.000    0.000    0.002    0.000 inspect.py:919(getfile)
        1    0.000    0.000    0.002    0.002 _distribution_infrastructure.py:2076(_quadrature)
       40    0.000    0.000    0.002    0.000 getlimits.py:112(_float_to_str)
      703    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dtypes.py:690(DatetimeTZDtype)
       81    0.001    0.000    0.002    0.000 inspect.py:1441(formatannotation)
        1    0.000    0.000    0.002    0.002 bdf.py:1(<module>)
        1    0.000    0.000    0.002    0.002 iterative.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _fitpack_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tzinfo.py:1(<module>)
       52    0.000    0.000    0.002    0.000 ipaddress.py:1939(__init__)
       29    0.000    0.000    0.002    0.000 _array_api.py:553(xp_promote)
        1    0.000    0.000    0.002    0.002 _trustregion_krylov.py:1(<module>)
        1    0.000    0.000    0.002    0.002 objects.py:1(<module>)
       22    0.000    0.000    0.002    0.000 decorators.py:26(jit)
        1    0.000    0.000    0.002    0.002 interval.py:160(IntervalIndex)
        1    0.000    0.000    0.002    0.002 datetimelike.py:198(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
        5    0.000    0.000    0.002    0.000 overloads.py:177(register_reflected_overload)
        3    0.000    0.000    0.002    0.001 arrayprint.py:1569(_array_repr_implementation)
        1    0.000    0.000    0.002    0.002 value.py:48(ValueKind)
       16    0.000    0.000    0.002    0.000 _arraypad_impl.py:545(pad)
        5    0.000    0.000    0.002    0.000 decorator.py:177(create)
       67    0.000    0.000    0.001    0.000 enum.py:946(_get_mixins_)
      368    0.001    0.000    0.001    0.000 abstract.py:20(_autoincr)
     1131    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      291    0.001    0.000    0.001    0.000 typing.py:2708(overload)
       13    0.000    0.000    0.001    0.000 extending.py:352(_register)
      160    0.001    0.000    0.001    0.000 templates.py:182(signature)
        1    0.000    0.000    0.001    0.001 html.py:1(<module>)
        3    0.000    0.000    0.001    0.000 arrayprint.py:605(array2string)
        1    0.000    0.000    0.001    0.001 __init__.py:379(_init_posix)
       25    0.000    0.000    0.001    0.000 typing.py:2211(__init_subclass__)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        1    0.000    0.000    0.001    0.001 caching.py:1(<module>)
      213    0.001    0.000    0.001    0.000 _docscrape.py:465(_str_summary)
       14    0.000    0.000    0.001    0.000 typing.py:1670(copy_with)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _tanhsinh.py:958(nsum)
      252    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
       44    0.000    0.000    0.001    0.000 compiler_machinery.py:418(make_festive)
        3    0.000    0.000    0.001    0.000 missing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:153(_ensure_llvm)
        1    0.000    0.000    0.001    0.001 rolling.py:884(Window)
      213    0.001    0.000    0.001    0.000 _docscrape.py:470(_str_extended_summary)
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
      294    0.001    0.000    0.001    0.000 typing.py:3806(__getattr__)
       32    0.000    0.000    0.001    0.000 functools.py:887(<lambda>)
       20    0.000    0.000    0.001    0.000 old_builtins.py:143(choose_result_int)
        1    0.000    0.000    0.001    0.001 base_parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 multi.py:228(MultiIndex)
      101    0.000    0.000    0.001    0.000 templates.py:1248(register)
       31    0.000    0.000    0.001    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scope.py:1(<module>)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1235(_cache_bytecode)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
       47    0.000    0.000    0.001    0.000 typeconv.py:63(set_safe_convert)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _multiufuncs.py:1(<module>)
       22    0.001    0.000    0.001    0.000 dispatcher.py:199(__init__)
        3    0.000    0.000    0.001    0.000 arrayprint.py:567(_array2string)
        1    0.000    0.000    0.001    0.001 object_mode_passes.py:1(<module>)
  171/148    0.001    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.001    0.001 _core.py:639(PlotAccessor)
       28    0.000    0.000    0.001    0.000 {built-in method _io.open}
       30    0.000    0.000    0.001    0.000 _strptime.py:426(__seqToRE)
       88    0.000    0.000    0.001    0.000 numerictypes.py:471(issubdtype)
       30    0.001    0.000    0.001    0.000 _inspect.py:140(formatargspec)
        6    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:1779(_validate)
        1    0.000    0.000    0.001    0.001 _decomp_cossin.py:1(<module>)
       12    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:943(filtered)
        1    0.000    0.000    0.001    0.001 info.py:1(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.001    0.001 abstract.py:1(<module>)
      292    0.001    0.000    0.001    0.000 common.py:4(_encode_string)
        1    0.000    0.000    0.001    0.001 object_array.py:1(<module>)
        3    0.000    0.000    0.001    0.000 decorator.py:200(decorate)
        1    0.000    0.000    0.001    0.001 event.py:1(<module>)
      314    0.001    0.000    0.001    0.000 _compiler.py:573(isstring)
        6    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:833(validation)
        1    0.000    0.000    0.001    0.001 _ccallback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 functions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pivot.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tarfile.py:1(<module>)
       16    0.000    0.000    0.001    0.000 doc.py:93(window_agg_numba_parameters)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1240(set_data)
        1    0.000    0.000    0.001    0.001 _mixins.py:1(<module>)
        1    0.000    0.000    0.001    0.001 imputils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 check.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cyaml.py:1(<module>)
      877    0.001    0.000    0.001    0.000 _docscrape.py:46(reset)
      160    0.001    0.000    0.001    0.000 _parser.py:230(__init__)
      106    0.001    0.000    0.001    0.000 extension.py:32(_inherit_from_data)
        1    0.000    0.000    0.001    0.001 typeref.py:11(TypeKind)
        1    0.000    0.000    0.001    0.001 win.py:1(<module>)
       91    0.000    0.000    0.001    0.000 registry.py:9(wraps)
       60    0.001    0.000    0.001    0.000 dataclasses.py:709(_is_type)
        1    0.000    0.000    0.001    0.001 range.py:1(<module>)
        1    0.000    0.000    0.001    0.001 grouper.py:1(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:241(split)
        8    0.000    0.000    0.001    0.000 _multiufuncs.py:25(__init__)
       72    0.001    0.000    0.001    0.000 pydoc.py:111(_findclass)
      280    0.001    0.000    0.001    0.000 inspect.py:306(ismethod)
        1    0.000    0.000    0.001    0.001 alpha183.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _type_aliases.py:1(<module>)
       22    0.000    0.000    0.001    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.001    0.001 projections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _multivariate.py:4994(__init__)
       25    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      782    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.001    0.001 _testutils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 castgraph.py:1(<module>)
        3    0.000    0.000    0.001    0.000 concat.py:1(<module>)
      640    0.001    0.000    0.001    0.000 _array_api.py:665(_render)
      750    0.001    0.000    0.001    0.000 typing.py:1814(_value_and_type_iter)
       12    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:724(validate)
       26    0.000    0.000    0.001    0.000 getlimits.py:493(__new__)
        1    0.000    0.000    0.001    0.001 _differentiable_functions.py:1(<module>)
       21    0.000    0.000    0.001    0.000 <frozen os>:203(makedirs)
       19    0.000    0.000    0.001    0.000 _continuous_distns.py:59(_call_super_mom)
      213    0.001    0.000    0.001    0.000 _docscrape.py:460(_str_signature)
       25    0.000    0.000    0.001    0.000 auxfuncs.py:622(l_or)
      289    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.001    0.001 xml.py:1(<module>)
       81    0.000    0.000    0.001    0.000 config.py:180(_readenv)
        1    0.000    0.000    0.001    0.001 _tnc.py:1(<module>)
       52    0.000    0.000    0.001    0.000 typing.py:1131(_typevar_subst)
       55    0.001    0.000    0.001    0.000 <frozen posixpath>:72(join)
        1    0.000    0.000    0.001    0.001 datetimes.py:106(DatetimeIndex)
        1    0.000    0.000    0.001    0.001 symbolic.py:45(Op)
        1    0.000    0.000    0.001    0.001 _relative_risk.py:1(<module>)
       25    0.000    0.000    0.001    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.001    0.001 value.py:10(Linkage)
        3    0.001    0.000    0.001    0.000 expr.py:281(disallowed)
      807    0.001    0.000    0.001    0.000 inspect.py:2824(annotation)
       67    0.001    0.000    0.001    0.000 enum.py:987(_find_data_type_)
        1    0.000    0.000    0.001    0.001 types.py:1(<module>)
       41    0.000    0.000    0.001    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.001    0.001 dtypes.py:945(PeriodDtype)
      655    0.001    0.000    0.001    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.001    0.001 _info.py:1(<module>)
      107    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
        1    0.000    0.000    0.001    0.001 _expm_multiply.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _version.py:151(__ge__)
        1    0.000    0.000    0.001    0.001 environment.py:1(<module>)
        8    0.000    0.000    0.001    0.000 extending.py:140(register_jitable)
       19    0.000    0.000    0.001    0.000 arrayprint.py:1685(_array_str_implementation)
        2    0.000    0.000    0.001    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.001    0.001 base_parser.py:101(ParserBase)
       35    0.000    0.000    0.001    0.000 ipaddress.py:1661(_ip_int_from_string)
        1    0.000    0.000    0.001    0.001 rk.py:1(<module>)
        1    0.000    0.000    0.001    0.001 expression.py:1(<module>)
      141    0.001    0.000    0.001    0.000 <frozen os>:794(encode)
       21    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:1118(_dispatch)
        1    0.000    0.000    0.001    0.001 masked.py:108(BaseMaskedArray)
       24    0.001    0.000    0.001    0.000 _distribution_infrastructure.py:386(draw)
        1    0.000    0.000    0.001    0.001 isoparser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _multivariate.py:3267(__init__)
        8    0.000    0.000    0.001    0.000 extending.py:157(wrap)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       18    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:3211(_moment_central_dispatch)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:200(_write_atomic)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.001    0.001 common_rules.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _multivariate.py:394(__init__)
       20    0.000    0.000    0.001    0.000 old_scalars.py:41(from_bitwidth)
        1    0.000    0.000    0.001    0.001 _qmc.py:802(QMCEngine)
        1    0.000    0.000    0.001    0.001 stata.py:827(StataMissingValue)
        1    0.000    0.000    0.001    0.001 isoparser.py:41(isoparser)
        1    0.000    0.000    0.001    0.001 align.py:1(<module>)
        1    0.000    0.000    0.001    0.001 trf.py:1(<module>)
       56    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.001    0.001 generic.py:1329(DataFrameGroupBy)
       12    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:352(contains)
       91    0.000    0.000    0.001    0.000 manager.py:23(register)
        1    0.000    0.000    0.001    0.001 _multivariate.py:1655(__init__)
        1    0.000    0.000    0.001    0.001 pyarrow.py:1(<module>)
       15    0.000    0.000    0.001    0.000 functools.py:677(cache)
       15    0.000    0.000    0.001    0.000 base.py:549(find)
        1    0.000    0.000    0.001    0.001 externals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_annotations.py:1(<module>)
        1    0.000    0.000    0.001    0.001 codegen.py:1382(_customize_tm_options)
      237    0.001    0.000    0.001    0.000 enum.py:69(_is_internal_class)
        1    0.000    0.000    0.001    0.001 _lbfgsb_py.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _complex.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _calamine.py:1(<module>)
        1    0.000    0.000    0.001    0.001 range.py:66(RangeIndex)
        1    0.000    0.000    0.001    0.001 timedeltas.py:103(TimedeltaArray)
        1    0.000    0.000    0.001    0.001 from_dataframe.py:1(<module>)
      136    0.001    0.000    0.001    0.000 inspect.py:2533(<lambda>)
       18    0.000    0.000    0.001    0.000 values.py:52(wrap)
        1    0.000    0.000    0.001    0.001 _multivariate.py:6108(__init__)
       64    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 datetimelike.py:1967(TimelikeOps)
        1    0.000    0.000    0.001    0.001 _multivariate.py:1128(__init__)
        1    0.000    0.000    0.001    0.001 boxing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typeconv.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fast_ops.py:1(<module>)
       32    0.000    0.000    0.001    0.000 ffi.py:10(_make_opaque_ref)
        1    0.000    0.000    0.001    0.001 floating.py:1(<module>)
        2    0.000    0.000    0.001    0.000 textwrap.py:386(fill)
        1    0.000    0.000    0.001    0.001 _kdtree.py:1(<module>)
      425    0.001    0.000    0.001    0.000 enum.py:764(__delattr__)
        4    0.000    0.000    0.001    0.000 inspect.py:1336(getfullargspec)
      295    0.001    0.000    0.001    0.000 _distn_infrastructure.py:839(<genexpr>)
        6    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:3276(_moment_standardized)
        1    0.000    0.000    0.001    0.001 _slsqp_py.py:1(<module>)
      323    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
      210    0.001    0.000    0.001    0.000 <frozen os>:798(decode)
       21    0.000    0.000    0.001    0.000 caching.py:217(__init__)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _multivariate.py:4391(__init__)
       73    0.000    0.000    0.001    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
       90    0.001    0.000    0.001    0.000 typing.py:2540(get_origin)
        1    0.000    0.000    0.001    0.001 ir.py:25(Loc)
       29    0.000    0.000    0.001    0.000 overloads.py:39(extract_template)
        1    0.000    0.000    0.001    0.001 object_file.py:1(<module>)
        2    0.000    0.000    0.001    0.000 textwrap.py:361(fill)
        6    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:3282(_moment_standardized_dispatch)
        1    0.000    0.000    0.001    0.001 base.py:285(IndexOpsMixin)
       24    0.001    0.000    0.001    0.000 {built-in method posix.open}
        1    0.000    0.000    0.001    0.001 relativedelta.py:1(<module>)
       13    0.000    0.000    0.001    0.000 __init__.py:851(normalize)
      537    0.001    0.000    0.001    0.000 typing.py:2766(final)
        2    0.000    0.000    0.001    0.000 textwrap.py:347(wrap)
        1    0.000    0.000    0.001    0.001 _wilcoxon.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hashing.py:1(<module>)
        5    0.000    0.000    0.001    0.000 decorator.py:75(__init__)
        1    0.000    0.000    0.001    0.001 symbolic.py:113(Precedence)
      180    0.001    0.000    0.001    0.000 dataclasses.py:865(_set_new_attribute)
      640    0.001    0.000    0.001    0.000 event.py:108(kind)
       28    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
