,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_024,alpha_026,alpha_027,alpha_028,alpha_029,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
alpha_093,0.04766,-0.00709,-0.01358,0.01734,0.04301,0.03996,-0.02188,0.05007,-0.01013,0.64387,-0.00317,-0.03169,0.00263,-0.04990,-0.02180,0.04277,-0.00000,-0.03726,-0.04757,-0.03793,-0.00632,-0.07199,0.02702,0.11058,-0.02264,-0.04785,-0.02023,-0.04707,0.01182,0.14540,0.05970,0.05560,-0.00506,-0.00463,-0.11786,-0.03530,-0.01389,0.03890,0.05040,-0.02265,-0.01672,-0.02539,0.05563,0.06014,0.02422,0.05851,-0.05851,-0.05851,-0.02188,-0.02324,0.01401,0.02739,0.03003,-0.05963,-0.01944,0.79580,-0.00402,0.03598,0.02957,-0.06190,0.02516,0.04803,-0.03903,-0.00817,0.08838,-0.04558,0.29475,-0.03170,0.04017,0.01421,-0.02537,0.02974,0.01619,0.00844,-0.05494,-0.04838,-0.02531,-0.13559,0.02082,0.00932,0.03792,-0.00224,-0.07035,0.02254,0.00138,-0.28215,0.02510,-0.01139,0.00985,1.00000,0.03311,0.34235,-0.05991,-0.11196,-0.02693,0.01420,-0.11481,0.00142,-0.02551,0.03578,0.00418,0.02387,0.13694,-0.00061,0.00031,-0.04128,-0.03872,-0.00194,-0.06549,0.01256,0.02169,-0.01180,0.12495,-0.01147,0.00695,0.03065,0.02284,0.00585,-0.00596,0.04895,-0.00110,0.78680,0.26216,-0.05542,0.90633,0.00446,0.01225,0.44691,-0.05618,-0.02396,-0.17495,-0.06491,0.03026,0.02569,0.00710,0.00793,0.01393,-0.10153,-0.04232,-0.00560,0.18988,0.02503,0.36351,0.55029,0.04371,-0.79216,-0.03653,-0.01374,0.01042,-0.00574,-0.20304,-0.21822,0.87610,-0.88678,-0.05315,0.00029,-0.00736,0.00529,0.00615,0.90633,0.03677,-0.06471,0.02988,-0.02510,-0.05850,0.00171,0.04997,0.01330,-0.01394,-0.43953,-0.00564,-0.00586,0.03737,0.00349,0.08922,0.00734,0.04997,0.00015,-0.04644,0.84011,0.04394,-0.01330,-0.00057,0.01139
alpha_094,0.12420,0.00117,-0.03998,0.09825,0.12012,0.15053,0.07771,0.03375,-0.00080,0.01560,-0.22645,0.00225,0.00778,-0.03518,-0.03543,0.11323,-0.00000,-0.21430,-0.21059,-0.23213,-0.04108,-0.04684,-0.05048,0.04502,-0.32468,-0.17601,-0.33524,-0.26858,0.00064,0.03774,0.26202,0.07150,-0.01274,0.01533,0.01631,0.02827,-0.50014,0.05951,0.14915,-0.48100,-0.02554,-0.00965,0.29890,0.35920,0.05125,0.29353,-0.29353,-0.29353,-0.45505,-0.33275,0.01881,-0.05561,0.06331,-0.26566,-0.41870,0.03624,-0.41557,-0.01994,0.08125,-0.31345,0.02350,0.18529,-0.19132,-0.43052,-0.00034,-0.37194,-0.23360,-0.36494,0.40829,0.00826,-0.01291,0.29879,-0.00056,0.03320,-0.24087,-0.41182,-0.04109,-0.31446,0.41705,0.00060,0.80893,0.07820,0.03761,0.02856,-0.38130,-0.02748,0.01874,-0.02231,-0.00825,0.03311,1.00000,-0.24334,-0.29980,-0.29699,0.02326,0.00450,-0.29707,0.00548,-0.04096,0.28776,0.00788,0.13555,-0.05948,-0.02584,0.01205,-0.13765,-0.34794,0.00095,-0.30912,0.07986,0.01153,-0.01961,-0.05380,-0.31601,-0.02789,0.14110,0.04948,-0.59042,0.01850,-0.00805,-0.00708,0.03151,0.10209,-0.32045,0.02230,0.00062,0.00306,-0.20512,-0.32803,-0.45570,0.33587,-0.01957,0.03700,0.11280,-0.02266,0.01498,0.03026,0.09060,-0.09090,-0.03039,-0.04984,0.04851,-0.24092,-0.05277,0.27793,-0.03399,0.03982,-0.03885,0.03158,0.02522,0.19651,0.20716,-0.00092,-0.00342,-0.05735,0.01563,-0.01549,-0.04711,0.00078,0.02230,0.06784,-0.03557,0.13731,0.00821,-0.22321,0.00020,0.05822,-0.04822,-0.11038,0.02369,0.01723,-0.02083,0.22471,0.01264,-0.11719,-0.03067,0.05822,0.00231,-0.25245,-0.00649,0.27295,-0.01712,0.03967,0.02231
alpha_095,-0.04330,0.00362,0.10187,-0.03851,-0.09604,-0.03035,-0.16729,-0.09903,0.05151,0.20373,-0.03676,-0.06632,-0.00433,0.10426,-0.00120,-0.10923,-0.00000,0.13104,0.10699,0.15282,0.16210,-0.05544,0.21033,-0.08165,0.28909,0.01070,0.15659,0.17347,0.01583,-0.07367,-0.14351,-0.03768,-0.00188,0.01755,-0.12058,-0.00632,0.22443,-0.00492,-0.12186,0.08144,-0.01677,-0.04030,-0.17445,-0.10255,0.00934,-0.10932,0.10932,0.10932,0.28156,0.10441,-0.00120,0.23345,0.00128,0.05172,0.15866,0.30444,-0.00585,0.05107,-0.07081,0.10091,-0.00163,-0.07213,0.09145,0.24022,0.09158,0.22148,0.84991,0.28976,-0.15030,-0.01308,0.01116,-0.10942,0.08271,-0.01473,0.07347,0.18322,0.01872,0.32577,-0.17820,0.02691,-0.21659,-0.06393,-0.08435,0.00731,0.36214,0.01620,0.00929,-0.01069,0.02920,0.34235,-0.24334,1.00000,0.07909,0.31859,-0.03160,0.02447,0.35658,-0.01502,-0.02222,-0.13404,0.00654,-0.14475,0.29225,0.01737,0.00256,0.07692,0.26298,0.03339,0.11098,-0.05056,0.00076,0.00722,0.27485,0.25717,0.00762,-0.03404,-0.02455,0.32881,-0.02328,0.01671,-0.00343,0.31920,0.25396,0.12020,0.40454,0.00252,-0.02231,0.90684,0.13729,0.23375,-0.46276,0.02964,-0.01255,-0.14515,0.01729,-0.00222,0.02654,-0.40338,0.06521,0.00468,0.28327,-0.03308,0.84286,0.40584,-0.10034,-0.31442,-0.06953,-0.02157,-0.01886,0.00998,-0.37621,-0.38107,0.42706,-0.44604,-0.06138,0.01673,-0.00641,0.03008,0.00653,0.40454,-0.01785,0.08770,-0.03480,-0.01815,0.19372,0.00215,0.03897,0.00436,0.08882,-0.40705,-0.01275,-0.00812,-0.11515,-0.00914,0.20835,0.07654,0.03897,0.01638,0.22874,0.47081,-0.17122,-0.00917,-0.07400,0.01069
alpha_096,-0.39061,0.05172,0.20482,-0.19789,-0.26084,-0.45164,-0.06786,-0.16589,0.05919,0.00469,0.27488,-0.03457,-0.02099,0.17759,0.04182,-0.15596,0.00000,0.45293,0.46734,0.52822,0.28412,0.19732,0.29698,-0.20122,0.74850,0.65474,0.18106,0.62278,-0.03071,-0.22794,-0.63927,-0.37045,0.08845,-0.02471,-0.05725,0.05035,0.50931,-0.41702,-0.24528,0.31163,0.24307,0.10572,-0.61386,-0.93837,-0.13349,-0.86558,0.86558,0.86558,0.58816,0.65120,0.01051,0.22590,-0.26170,0.92219,0.55588,-0.01082,0.35687,-0.29728,-0.11005,0.72690,-0.18064,-0.34129,0.34249,0.54204,0.07700,0.58108,0.16449,0.69909,-0.84435,-0.11172,0.13140,-0.32024,-0.02783,-0.14973,0.63944,0.74900,0.06216,0.04419,-0.74988,-0.05768,-0.36782,-0.00624,-0.34753,-0.26883,0.57677,0.27265,-0.16279,0.01482,-0.01930,-0.05991,-0.29980,0.07909,1.00000,0.06954,-0.12913,-0.06689,0.02219,-0.03424,0.11119,-0.56746,-0.01480,-0.02866,0.23580,0.02111,0.06369,0.37443,0.54246,0.07584,0.86236,-0.08980,-0.01258,-0.02675,0.25522,0.52883,-0.02430,-0.38547,-0.30402,0.47393,-0.01285,0.01156,-0.22701,0.00767,-0.48644,0.77292,-0.06858,-0.08456,-0.07575,0.06058,0.68767,0.23947,-0.17971,0.04925,-0.41887,0.07226,0.04763,-0.02939,-0.05505,-0.06224,0.35944,0.06358,0.17828,-0.29773,0.16191,0.09779,-0.11575,0.00017,-0.14889,0.13226,-0.24058,-0.05626,-0.21291,-0.19790,0.02888,-0.04701,0.42224,0.08003,0.00649,0.00996,-0.31833,-0.06858,-0.18712,0.10769,-0.35814,-0.01400,0.38727,0.00014,-0.09392,0.02439,0.24368,-0.14131,0.04683,0.08058,-0.45374,-0.01319,0.02662,0.02798,-0.09392,0.06795,0.29676,0.06420,-0.27492,0.03026,0.03393,-0.01482
alpha_097,-0.04287,0.00417,0.00080,-0.00653,-0.07501,-0.02624,-0.08146,0.00034,-0.00756,-0.05045,-0.10865,0.00480,0.01894,-0.00049,0.00912,-0.08688,0.00000,0.08128,0.07205,0.09240,-0.00041,0.01343,-0.00184,0.00591,0.14905,0.02302,0.37477,0.10659,0.01050,0.00668,-0.09680,-0.05578,0.01042,0.00061,0.02019,0.04643,0.06839,-0.06079,-0.14446,0.17700,0.01190,0.02892,-0.09922,-0.06824,-0.06150,-0.09451,0.09451,0.09451,0.13359,0.03484,-0.03953,0.00905,-0.03256,0.05260,0.02629,-0.13897,-0.11383,-0.00971,-0.05905,0.08233,-0.05002,-0.05381,0.06083,0.11799,-0.01191,0.08450,0.34875,0.13542,-0.07166,-0.03886,0.04036,-0.12211,0.08351,-0.04686,0.07246,0.11538,0.10876,0.84376,-0.06847,0.00765,-0.31382,-0.01975,0.01249,-0.01317,0.13584,0.00964,-0.03126,0.00150,0.01302,-0.11196,-0.29699,0.31859,0.06954,1.00000,0.04215,0.00317,0.90072,-0.01912,0.03722,-0.06184,-0.00715,-0.10273,-0.00631,0.00032,-0.00479,0.14298,0.13565,0.04914,0.10354,-0.02961,-0.01204,0.00160,-0.00484,0.08598,-0.00096,-0.04048,-0.05606,0.26942,-0.00311,0.00600,-0.01158,-0.13706,0.01156,0.09046,-0.10423,-0.01556,-0.02798,0.18275,0.09723,0.45032,-0.09962,0.00332,-0.03659,-0.10220,0.00547,-0.01969,0.01562,-0.20371,0.20198,0.02231,-0.00693,-0.04847,0.22472,-0.02484,-0.03755,0.13853,0.03313,0.18499,-0.04354,0.00706,-0.09762,-0.10380,-0.09115,0.10340,-0.00355,0.00935,0.01442,-0.02853,-0.00745,-0.10423,-0.12625,-0.00315,-0.01943,0.01884,0.10876,-0.00256,-0.04415,-0.02875,0.05527,0.08267,-0.01474,0.02667,-0.09784,-0.00520,0.00162,0.01369,-0.04415,0.00575,0.10331,-0.10058,-0.07480,0.02805,-0.03295,-0.00150
alpha_098,0.10722,-0.00219,-0.48207,0.12267,0.03986,0.16985,0.09218,0.63924,-0.51662,-0.21538,-0.06685,0.31060,0.34984,-0.59014,-0.12000,0.04614,-0.14059,-0.31564,-0.31221,-0.29273,-0.23551,-0.31955,-0.32675,0.80796,-0.16475,-0.22555,-0.08577,-0.32698,0.06969,0.30769,0.32304,0.09879,-0.05266,0.13868,0.59494,0.11352,-0.13802,0.14191,0.08556,-0.06156,-0.12418,-0.15739,0.33527,0.14278,0.22134,0.17485,-0.17485,-0.17485,-0.14865,-0.13765,0.11935,-0.21973,0.10315,-0.19055,-0.10974,-0.21872,-0.05454,0.12142,0.07658,-0.25335,0.08036,0.38312,-0.38592,-0.16401,-0.43706,-0.10437,-0.10681,-0.25370,0.11055,0.02310,-0.05218,0.01579,0.00479,0.10449,-0.25195,-0.21710,-0.09690,0.06692,0.09130,0.06083,0.03405,0.11682,0.17506,0.12729,-0.16684,-0.41046,0.09325,-0.13353,0.15371,-0.02693,0.02326,-0.03160,-0.12913,0.04215,1.00000,0.07076,0.05177,0.08130,-0.11658,0.06978,0.05847,-0.00641,-0.25914,-0.11410,0.03871,-0.15474,-0.13935,0.04508,-0.18546,0.07010,0.13291,0.00399,-0.09387,-0.15258,0.01213,0.11382,0.11420,-0.03473,0.04592,-0.14456,0.05240,-0.24599,0.06812,-0.14991,0.03671,0.03732,-0.11754,-0.01580,-0.10864,-0.06816,-0.02202,-0.52387,0.08528,-0.01240,0.03936,0.04595,0.13277,0.01491,-0.06372,-0.06459,0.08907,0.11762,-0.12864,0.05279,0.05152,0.22732,0.10965,-0.02310,0.00180,0.02009,0.13745,0.03258,-0.10635,0.09442,-0.23672,0.12418,0.04987,0.01377,-0.00047,0.03671,0.12508,0.04449,0.19972,0.05534,-0.04514,-0.00624,0.13637,-0.00423,-0.08686,0.39023,0.07005,-0.07457,0.18280,-0.01226,0.01966,0.00756,0.13637,0.08714,-0.02516,-0.09660,-0.07765,-0.06322,-0.03961,0.13353
alpha_099,0.24898,0.01111,-0.05510,0.12953,0.23785,0.19063,0.08005,0.06986,-0.02255,0.00562,-0.07105,-0.00180,0.04187,-0.06720,-0.08440,0.21145,0.00000,-0.17349,-0.18893,-0.15314,-0.01168,-0.18440,-0.01906,0.06589,-0.03906,-0.23345,-0.02141,-0.16562,0.17539,0.00294,0.18180,0.08827,-0.32251,0.18476,0.05492,0.13624,-0.00141,0.21950,0.08843,-0.06832,-0.12348,-0.13144,0.17910,0.08145,0.09917,0.10135,-0.10135,-0.10135,0.02001,-0.06274,0.01804,-0.00622,0.07490,-0.15914,-0.04464,0.00799,-0.03736,0.14464,0.49691,-0.22393,0.46782,0.22205,-0.21701,-0.04159,-0.01170,-0.01772,-0.04249,-0.08719,0.04056,0.08503,-0.40513,-0.00071,0.00613,0.01661,-0.25779,-0.12570,-0.08151,0.00563,0.02181,0.75880,0.02720,0.26397,0.12958,0.15980,-0.02912,-0.03877,0.64904,-0.13874,0.12298,0.01420,0.00450,0.02447,-0.06689,0.00317,0.07076,1.00000,0.01216,0.14273,-0.08392,0.05701,0.28113,0.09428,-0.01017,-0.10674,0.06794,-0.05726,-0.00538,0.08515,-0.12513,0.15461,0.03589,0.23258,0.00862,0.00072,0.08080,0.13200,0.10086,0.06036,0.14986,-0.02433,0.07730,0.00507,0.00106,-0.07038,0.01825,0.20793,-0.15736,0.01110,-0.03222,0.00161,-0.06114,-0.08328,0.02401,0.04537,0.06841,0.08117,0.26559,-0.01602,-0.01751,-0.01981,0.02472,0.08842,-0.00479,0.02655,-0.05051,-0.00793,0.04762,-0.01033,0.03966,0.04855,0.01294,-0.00301,-0.00090,-0.00841,-0.28284,0.13894,0.00416,-0.08700,0.09095,0.01825,0.07254,0.01531,0.27963,0.02650,0.05429,0.00118,0.09326,0.00245,-0.46855,-0.00624,0.04078,-0.31151,0.15798,-0.03382,0.01032,0.02286,0.09326,0.08582,0.03390,0.00771,-0.06977,-0.07471,-0.00713,0.13874
alpha_100,-0.02573,0.00192,-0.00347,-0.01923,-0.06390,-0.00618,-0.06124,0.00497,-0.00811,-0.05301,-0.14817,0.00527,0.02086,-0.00515,0.00344,-0.07442,0.00000,0.04216,0.03584,0.05095,-0.00551,-0.01571,-0.00726,0.01277,0.10385,-0.00758,0.30394,0.05916,0.00392,0.00641,-0.05185,-0.02518,-0.00058,0.01341,0.02567,0.05048,0.05423,-0.00318,-0.07950,0.11029,-0.00823,-0.00458,-0.06288,-0.03081,-0.00074,-0.03900,0.03900,0.03900,0.11805,-0.00546,-0.00326,0.00741,-0.00409,0.00907,0.00728,-0.14483,-0.18122,0.03843,-0.05368,0.04122,-0.01405,-0.02272,0.02701,0.10921,-0.01276,0.07585,0.28567,0.10121,-0.04471,-0.01393,0.02239,-0.12174,0.10270,-0.01710,0.03185,0.08238,0.05045,0.89841,-0.04895,0.01453,-0.28990,-0.03885,0.04417,0.00181,0.12666,0.00298,-0.00163,0.00376,0.03107,-0.11481,-0.29707,0.35658,0.02219,0.90072,0.05177,0.01216,1.00000,-0.00471,-0.01187,-0.06939,0.00091,-0.10057,-0.00880,-0.00495,0.00177,0.04872,0.11117,0.04916,0.04583,-0.03081,-0.01316,0.00472,-0.00827,0.07002,-0.00033,-0.01803,-0.02505,0.28126,0.00005,0.00617,0.00459,-0.14372,0.06292,0.04615,-0.10778,-0.00198,-0.01846,0.20927,0.06522,0.39099,-0.13409,0.00053,-0.00491,-0.10597,0.01612,-0.00223,0.01750,-0.21879,0.05992,0.00923,-0.00768,-0.01549,0.20374,-0.02257,-0.06904,0.14489,0.03241,-0.00668,-0.00310,0.01011,-0.07006,-0.08583,-0.09598,0.10830,-0.03728,0.00774,0.01237,0.00074,0.00423,-0.10778,-0.03476,-0.00283,-0.01157,0.02026,0.08928,-0.00309,-0.01820,-0.03002,0.03939,0.08691,-0.01208,0.00766,-0.05739,-0.00655,0.00638,0.02757,-0.01820,0.00961,0.10252,-0.10340,-0.11009,0.00006,-0.06697,-0.00376
alpha_101,0.07279,-0.00348,-0.00092,0.05242,0.11155,0.03491,0.03086,0.01010,-0.00235,-0.00976,0.01036,-0.00404,-0.00691,-0.00666,-0.02682,0.15991,-0.00000,-0.01655,-0.01982,-0.00809,0.01213,0.00154,0.00114,0.09807,-0.01862,-0.00983,0.00472,-0.01389,0.01467,0.10288,0.01784,0.12755,-0.04449,-0.04421,0.02275,0.02344,-0.04268,0.04358,0.19600,0.00325,-0.04209,0.00826,0.05380,0.03076,0.03172,0.09230,-0.09230,-0.09230,-0.03104,-0.03509,0.01231,-0.01852,-0.02464,-0.02514,-0.05858,-0.00965,-0.01889,-0.02342,0.16481,-0.10063,0.21560,0.03443,-0.03278,-0.11229,-0.00070,-0.08554,-0.03067,-0.05414,0.01808,0.22348,-0.02079,-0.00108,0.03582,0.04755,-0.08578,-0.11649,-0.01631,-0.00225,0.00682,0.16143,0.03079,0.08611,0.01803,0.02774,-0.05633,-0.00716,0.19567,0.01798,0.04229,0.00142,0.00548,-0.01502,-0.03424,-0.01912,0.08130,0.14273,-0.00471,1.00000,-0.05192,0.11494,0.04122,0.27990,-0.02184,-0.02642,0.03259,-0.03808,-0.06791,0.02841,-0.08504,0.00940,-0.00014,0.12492,-0.01994,-0.04670,0.13812,0.05528,0.01271,-0.03587,0.24961,-0.00519,0.06754,-0.01452,0.03542,-0.10021,-0.00548,0.23561,-0.19648,-0.01039,-0.12738,0.01400,-0.01817,-0.01561,0.08526,0.19374,0.00415,0.15686,0.02515,0.02135,-0.03874,0.02720,-0.02609,0.19892,-0.00982,0.00740,0.02898,0.01001,0.02252,0.01554,0.02033,-0.04859,-0.02669,-0.01277,-0.04110,0.00887,-0.00889,0.01400,-0.00900,-0.02146,0.00799,-0.00548,0.01151,-0.01288,0.07575,-0.00653,-0.02556,-0.00103,0.05979,-0.00565,-0.14942,-0.00087,0.01676,-0.16854,0.11470,0.01598,0.00207,0.00698,0.05979,0.00237,-0.02969,-0.01169,0.02724,-0.00938,0.02265,-0.01798
alpha_102,-0.09752,-0.02436,0.08652,0.27891,-0.06350,-0.16515,-0.03155,-0.09098,0.01917,0.00107,0.10952,-0.01429,-0.06797,0.09189,0.09491,-0.11212,0.00000,0.27058,0.26915,0.26664,0.04821,0.22515,0.05382,-0.16984,0.12736,0.26200,0.15779,0.29710,-0.06120,-0.05588,-0.28402,-0.15819,0.05745,-0.20503,-0.13478,-0.11255,0.11734,-0.23752,-0.12999,0.16068,0.14906,0.27881,-0.28340,-0.10866,-0.39464,-0.16789,0.16789,0.16789,0.12339,0.14221,-0.16561,0.03107,-0.00859,0.19939,0.09315,-0.00522,0.04699,-0.25374,-0.00423,0.33214,-0.10939,-0.30310,0.32053,0.25815,0.01322,0.05029,0.11542,0.20951,-0.05525,0.01209,0.06420,-0.02568,-0.01442,-0.09832,0.29395,0.30801,0.67936,-0.00514,-0.02764,-0.08211,-0.06546,0.29276,-0.20590,-0.18479,0.11069,0.06553,-0.10433,0.22387,-0.25105,-0.02551,-0.04096,-0.02222,0.11119,0.03722,-0.11658,-0.08392,-0.01187,-0.05192,1.00000,0.02323,0.00154,0.03447,0.03513,0.22853,-0.28639,0.56441,0.16588,-0.10633,0.19393,-0.06842,-0.01474,0.03603,0.01206,0.13007,0.03153,-0.14971,-0.24336,0.01173,-0.08518,0.02142,-0.10066,0.00186,-0.13690,0.13478,-0.03540,-0.01858,0.14012,-0.04147,0.07724,0.12889,0.06047,0.09497,-0.09206,-0.01710,-0.13799,-0.02194,-0.51870,0.01987,0.20243,0.26425,-0.01564,-0.09967,0.21092,-0.02222,0.01486,0.00281,-0.01316,0.31255,-0.17447,-0.06478,-0.41595,-0.00760,0.00834,0.01206,0.29812,-0.19662,0.00301,-0.05156,-0.07312,-0.03540,-0.88449,-0.00697,0.00148,-0.05432,0.02546,0.00136,-0.17995,-0.00833,0.06046,-0.03757,-0.11774,0.11625,-0.30571,0.01892,-0.01387,-0.13710,-0.17995,-0.09302,-0.01916,-0.02002,0.33484,0.40670,0.48798,-0.22387
alpha_103,0.24349,-0.02689,-0.07588,0.16030,0.24702,0.20959,0.05932,0.06837,-0.01773,-0.01626,-0.08545,0.01067,0.00547,-0.07254,-0.05787,0.21015,0.00000,-0.22605,-0.23296,-0.26087,-0.12905,-0.00460,-0.16473,0.09928,-0.49352,-0.19717,-0.09256,-0.33280,0.02203,0.12968,0.34552,0.13031,-0.01541,-0.20953,0.02305,-0.15172,-0.46030,0.03502,0.22388,-0.15102,0.01234,0.03923,0.40874,0.58819,-0.06124,0.56510,-0.56510,-0.56510,-0.55112,-0.38039,-0.13404,-0.21721,0.02917,-0.43306,-0.51170,-0.00657,-0.26390,-0.02291,0.19540,-0.46100,0.09955,0.18637,-0.18382,-0.51475,-0.03792,-0.61670,-0.12249,-0.52512,0.61836,0.14902,-0.10289,0.26874,0.01590,0.02735,-0.38557,-0.58415,0.02921,-0.05578,0.59005,0.08269,0.35496,0.07202,0.01029,-0.00034,-0.56751,-0.12393,0.09852,0.03541,-0.15758,0.03578,0.28776,-0.13404,-0.56746,-0.06184,0.06978,0.05701,-0.06939,0.11494,0.02323,1.00000,0.02452,0.20117,-0.23097,0.01192,-0.02163,-0.08827,-0.54864,-0.05273,-0.54376,0.10464,0.00538,0.01424,-0.23291,-0.50549,0.02927,0.22838,0.00698,-0.52577,0.03324,-0.00504,-0.00512,-0.02257,0.36458,-0.56888,0.00946,0.07629,0.04912,-0.10798,-0.86875,-0.14897,0.28179,-0.02406,0.19680,0.12445,-0.14002,0.04870,-0.01969,0.09053,-0.14927,0.00464,-0.23086,0.09887,-0.12387,-0.13999,0.29881,0.01623,0.12814,0.03214,0.02432,-0.09204,0.12100,0.16595,-0.04914,0.06070,-0.06488,-0.07302,-0.00678,-0.10240,0.03573,0.00946,-0.01105,-0.17921,0.17709,0.00294,-0.37158,-0.00344,-0.01469,-0.02451,-0.22540,0.10070,-0.02862,-0.05596,0.25406,0.02517,-0.06305,-0.06773,-0.01469,-0.08239,-0.39767,-0.08820,0.39695,0.02986,0.08707,-0.03541
alpha_104,0.05880,0.01389,-0.01872,0.12544,0.09414,0.07632,0.07513,0.04955,-0.01942,0.00229,-0.00533,0.00900,0.02036,-0.04110,-0.07565,0.10779,-0.00000,-0.12680,-0.13590,-0.07619,0.02317,-0.13974,0.00746,0.06994,0.01257,-0.07527,-0.03460,-0.09261,0.19559,0.07921,0.10371,0.00058,-0.17307,0.13728,0.04510,0.08951,-0.01113,0.06032,0.04043,-0.02904,-0.06705,-0.07693,0.11482,0.01714,0.09853,0.03057,-0.03057,-0.03057,-0.00300,-0.03875,0.04247,-0.00173,0.04718,-0.04737,-0.02087,0.00200,-0.00780,0.02039,0.49621,-0.10196,0.23889,0.18220,-0.17564,-0.03147,-0.01010,-0.00558,-0.03209,-0.04145,0.00712,-0.12532,-0.19482,0.00943,0.00355,-0.01268,-0.12792,-0.06366,-0.01245,0.00132,0.00226,0.34401,0.00698,0.16839,0.06306,0.06503,-0.01521,-0.00797,0.32788,-0.13118,0.08588,0.00418,0.00788,0.00654,-0.01480,-0.00715,0.05847,0.28113,0.00091,0.04122,0.00154,0.02452,1.00000,-0.01615,-0.00592,-0.06118,0.05417,0.01105,-0.01505,0.06491,-0.04146,0.06749,0.02420,0.11407,0.01051,-0.01039,0.03976,0.03212,0.01775,0.03832,0.15843,-0.01504,-0.00275,0.00055,-0.03001,-0.02258,0.00781,0.09360,-0.10871,0.00337,-0.01160,-0.02111,-0.02173,-0.06258,-0.01822,-0.01084,0.02380,0.02940,0.12372,-0.00673,-0.02134,-0.06292,0.01340,0.04493,-0.00375,0.01155,-0.00396,-0.00267,0.01935,-0.00335,-0.07672,-0.04912,-0.01386,-0.00664,-0.00162,-0.00225,-0.12232,0.10712,-0.00106,-0.02116,0.02011,0.00781,0.01830,0.00892,0.19204,0.01690,0.02872,-0.00115,0.06895,-0.00555,-0.08657,0.00267,0.01549,-0.23284,0.10389,-0.01769,0.01509,-0.02824,0.06895,0.07433,0.00891,0.00218,-0.02134,-0.01451,0.00509,0.13118
