,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_024,alpha_026,alpha_027,alpha_028,alpha_029,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
alpha_079,-2.52263,-0.37187,34.81008,-3.63747,-1.62270,-6.35747,-40787657.31759,-22.09701,0.00001,-547.14375,743452490.75239,-92.17642,-0.58746,27.38055,0.01912,-1.20384,7272712580198425837245368149684843356777497478648529635159805612673842327708516714457250130878845174731481335615438661728428278844602415797048631639208094302619023026476630926874922415469109917360698152461756121715778831129821866596083407883495448312690119847838269299469490950504448.00000,0.42016,0.38767,48.33740,4.26126,0.02895,-19.69319,-20.08485,-52.31470,303.51517,57401851.21115,40.99305,-0.66375,-7.01461,-0.39417,-1.40809,0.62016,-0.75894,-8.87884,-0.84454,-393.05882,-1.65239,-1.64240,1500926693.41797,2.13562,0.94843,-0.33024,-139.43386,-0.39053,-2.02006,4.04012,2.02006,-325331.82155,107.39255,-0.71337,-1390.38031,-1.02619,232.86407,83.67095,81.44220,1521429321.26707,-1.07690,-1.41679,244.32513,-0.42033,-0.21578,22.13606,-176.58135,0.00001,19.14281,-2320510322.35402,-64.70608,-107.33855,-0.59130,-0.94208,-0.33623,-0.11001,-0.46544,843.98699,211.63345,190.97248,-102029606.12626,-89.85501,-0.41731,-2961673089.31474,-0.77000,-3.60890,-2.03471,-97.35947,7.42230,-0.75516,-0.32035,-0.64507,-11.94266,-3385870130.46890,-1973546533.40582,197.53852,-68468790.18391,-17.69209,-0.50932,-52339325.94079,-0.83332,54.33193,-252.00637,-0.34403,-1.06350,-60.48526,-0.29101,-0.25018,0.83250,465.76163,-45771794.08311,387.32464,-0.92083,-12.01202,0.08720,-2.95722,-391.70567,0.07171,-14.55942,-1.20163,-0.00968,-0.76732,11.40790,-5.10308,-36.41697,-16.53721,153.76893,40.20486,-2.23152,0.46444,-3727418395.25878,-535.65592,-85020388.54428,-0.34654,153.15105,-2.05268,-0.85530,-0.12646,-0.36027,-0.66811,-0.00000,97.62686,0.40587,-2.31636,-3.59387,-8052445799.73026,-22.69640,-0.04737,-20.75003,-0.52551,14982458.66243,-0.30457,-0.42606,-0.07479,-7533.13606,2.97285,-4.82538,2.17764,-0.67336,244520.91672,0.49645,-4419.02223,-8.04024,-1.83648,0.41635,-3.71785,-13.96882,94.29449,0.00000,-1.35134,38272357051.97073,2.12032,-158.88959,-0.37385,0.42439,-182.62018,-0.00896,0.10503,-0.06107,-1.35134,-0.50726,74.85385,45.77735,-0.06582,0.15238,45.30953,-0.75924
alpha_080,-3.11181,-0.41565,53.02755,10.80053,-1.93849,-15.37158,-124509435.33527,-46.52907,0.00001,-113466.33369,1705497655.82153,-76.90369,-3.46775,55.49178,0.08782,-2.68693,257778609059168366362072948395288011730108545612031770659758396964353032903938404397055244219002975599629651404669425815201208973495621982985639378381838763358998858875575263461617234039921369903121755485109175773871137690056716101108026913815615119787144922584239119063771526253772800.00000,1.23234,1.08125,113.62678,2.14795,0.13651,-11.84396,-47.66895,-37.72519,601.90155,318262306.48123,85.13423,-2.42944,-4.76472,-0.74362,-3.50894,2.99137,-6.07716,-37.34396,-4.68454,-212.34103,-5.75406,-4.06284,4181831334.30425,8.00830,4.40345,-0.57485,-91.55920,-2.61880,-1.95613,3.91227,1.95613,-150349.04822,99.33886,-3.33050,-367.66563,-2.49835,269.03007,52.96178,-3328.84931,1020603854.62452,-4.80126,-0.37924,341.21369,-1.86204,-0.62918,69.09834,-94.05004,0.00000,14.98341,-9565017589.81690,-77.47588,-42.93764,0.78093,-2.95725,-0.04790,0.51803,-1.80554,1819.60980,190.97248,6743.58473,-69006734.02060,-25.41370,-2.11274,-2689039819.54692,2.88157,-10.68591,-7.61421,-66.19134,8.52824,-2.41322,-0.94668,-4.00828,-40.71266,-2233888886.91001,-1307264990.15389,102.59433,-407742906.96526,-41.42023,-2.15834,-208881869.14050,-0.66018,614.82780,82.04924,-0.43870,-0.49182,-14.25992,-0.21688,-3.42108,6.20244,593.68741,-132462283.25405,407.58789,-1.81996,-5.20468,1.21637,0.87057,-373.52952,1.44287,-21.23318,-4.83252,0.00207,-1.74920,17.19858,-19.40351,131.60343,-13.41581,134.80178,-8.39261,-5.94980,2.33615,6725195983.60729,-267.75436,-304507512.47590,0.32316,435.01008,-3.17287,-2.47692,-2.45712,-1.34189,-5.67674,0.00000,219.19297,5.23976,2.18455,-2.17373,-33579353077.32779,23.21274,0.02100,160.45618,-0.75450,241132475.58641,-3.00775,-1.38134,-0.59338,-8038.80231,-5.01842,8.91937,7.07733,-3.30988,-21792.24911,-16.20518,-7839.80055,-36.90079,-32.50447,-0.28151,-2.12779,-41.24800,10.48895,-0.00000,-5.06337,5991708538.51116,2.84148,-90.82287,-1.49169,2.45938,-509.35716,-0.00339,0.09035,-15.88551,-5.06337,-1.38267,-33.15160,-75.90379,0.33901,4.63567,1691.41366,-3.45771
alpha_081,546480.86037,-161053.36990,3572708.38473,649195.63248,2030308.09770,1209439.66850,128517170820477.06250,-4380271.61053,8.44639,889230503311.54980,2080516337282180.75000,-98470856.68585,-1657033.73169,5234184.24641,2211.26174,1630790.60742,-161167940139516041674562681861248843477238248026843300131851880479258913029564541479787672035301166015331780745980126679184648316471687124558857880286442232232427648700317113715756048775745384784539735225630883033335851845374337118213678578197668043412230093281763804400147362151314564841472.00000,-181772.94279,-140648.27765,-24658583.64905,711813.52454,17969.76508,-3593674.81323,-6165401.51188,54081104.59366,-19884659.92283,-386741608255774.43750,-22576539.92783,-93597.19147,955905.37554,190780.95533,311555.47278,118521.53209,-459678.79203,-12040364.64321,-2222815.73096,6050815.62361,279341.23135,1594060.60845,-3436164846555696.00000,878120.64081,-6758.40871,186317.50943,74384710.52609,5266.27946,838303.03951,-1676606.08900,-838303.04441,-1106109423067.15771,-516827.74216,93022.60013,403975603.71494,695205.15877,-64506227.64943,-5820501.59337,39536644252.09867,4312620890110045.50000,-955751.05785,1813836.66383,-75154298.09104,73703.40292,50453.49282,-6151776.45360,121127403.67637,8.90936,-19327604.87623,20056976856177424.00000,57778385.28863,78269633.78207,27348.38176,261197.75593,1092185.31051,-672374.66664,579589.57846,-216016467.94580,-102029606.12626,-69006734.02060,9766059343263476.00000,76743223.92434,-174331.17481,14604030289853494.00000,334820.99048,-4624625.04742,-306770.90575,122953878.06954,-77325.32143,-95938.35721,56632.23284,-1105970.06826,260694771.14750,20365970302525412.00000,26648078371539260.00000,-86817011.91938,3794936163061634.00000,-40187274.50999,-177378.91966,4461362957910635.50000,109264.56043,6137232.15578,186315262.79710,-55345.19006,3108288.64824,-12780993.12004,-248923.49510,-93756.18942,-563259.89883,-388175708.62445,-138169369492734.57812,-181733279.50480,721296.28134,21403110.84668,-134547.33865,-602126.00690,245047913.25545,-402731.47627,5150120.86665,647987.19269,31386.84395,932052.57624,-15551914.19598,1341357.33950,-1956460748.24778,-5702776.85483,-78688067.48539,187019678.43189,-1824990.28112,603183.53653,53189624391863888.00000,359542695.40406,713230694632727.00000,1134372.05851,-4236071.11058,206861.59216,3172209.12205,-382263.36539,-134710.72128,-336293.66211,0.00052,-145694599.92678,-25766.95326,-544061.80848,2042874.96266,58540427681635880.00000,-20081345.31339,50926.47973,-1995599724.47456,-1622864.29462,25090847326782.48047,205703.68895,-444487.01541,129238.95999,12290589818.42499,28532903.10423,-61010879.93743,1126783.25157,-281413.77198,-3785596325834.80664,-4756162.10252,-1907781977.81733,177661879.73207,1087852.96473,210818.99197,159169.16996,-34421459.35578,-163668067.10572,1.90716,-114129.73912,492368572755977600.00000,-1122926.91258,-677941083.13250,501427.01388,44731.35940,105960793.66493,23412.40818,371057.24558,-2770588.91743,-114129.73912,-243990.73244,-159613391.90435,415921595.63808,175490.77233,-44883.28712,458157861.70974,-10539.76963
alpha_082,1.19600,-0.28115,-17.24728,1.65094,0.78482,3.54850,16007967.24910,9.70903,-0.00000,2396.43110,-419978885.86071,51.71707,0.32638,-12.29340,-0.00399,0.38074,19771106132050773839048665105180940452327997096174553403740046644606804766817562525594385266897186453844689553675415505598014867374195387244032764234148872547211295053944215738790891207120574250914836299505988460576570475625370681012482189041187771238235268043702272385557856952254464.00000,-0.18882,-0.17300,-23.40151,-2.79792,0.00489,13.01730,6.96626,33.73272,-150.67409,-25512305.60294,-19.63276,0.08859,3.35179,0.18736,0.55354,-0.21573,-0.05512,2.53812,-0.10223,268.09952,0.61291,0.58890,-753986941.87815,-0.51853,-0.01862,0.15506,127.44192,0.03282,1.27106,-2.54212,-1.27106,340260.99878,-70.82556,-0.02326,943.62952,0.74256,-152.34727,-60.56189,20.54599,-1273201709.02798,0.23488,0.37575,-105.03412,0.13682,0.07711,-8.05160,64.83158,-0.00000,-12.68194,1552661850.88009,36.72538,118.31235,0.26979,0.20620,0.30969,0.02221,0.22197,-393.81468,-89.85501,-25.41370,76743223.92434,111.86981,0.06386,2013455676.23925,0.11602,1.17188,0.50742,62.89278,-3.73830,0.20878,-0.09779,-0.10870,3.79299,2472250517.44950,1386887018.29391,-153.18386,31596142.03223,5.22990,0.06436,23045942.40549,0.03555,-3.22564,187.25139,0.00894,0.33281,40.48874,-0.09197,-0.04333,-0.32585,-255.41732,-16855522.96642,-228.75843,0.40950,2.64867,-0.03503,2.17724,223.35666,-0.04707,7.05209,0.43814,0.00779,0.02548,-3.81387,2.38058,31.21722,10.28935,-99.35318,-30.07230,1.06948,0.17787,3610413351.79314,379.85769,46320566.55300,0.34071,-34.23812,1.02065,0.08623,-0.18171,0.05427,0.02664,0.00000,-53.20064,-0.11050,1.94175,1.18663,5595785968.04797,23.04990,0.03298,7.94389,0.41884,-3922510.27316,0.23030,0.08464,0.05246,5814.92875,-1.66583,4.65719,-0.70149,-0.18330,-245866.07808,-1.36686,2961.38445,-0.95171,0.50144,-0.34585,1.18114,2.95233,-74.35630,0.00000,0.11782,-21784344230.61349,-0.78059,106.13524,-0.07931,-0.09922,78.80640,0.00895,-0.07843,-0.59879,0.11782,-0.16902,-62.47003,-41.96940,0.06325,-0.02907,15.64085,-0.01416
alpha_083,0.02263,0.00670,-0.12626,0.02972,0.03582,0.03513,571098.70125,0.09936,-0.00000,113.32728,-1487657.91158,-0.21541,0.00735,-0.10915,-0.00027,0.02353,337476780995233206313882139934846339852689742999803394306627052259242143483711172175791422091025016083678065537221760926132630132312702907300812717785076759676844228342358294899218590948536268383283754558720585494924724341363997855292464422256187718742377165286691060045947204534272.00000,-0.00174,-0.00177,-0.17890,-0.00216,-0.00021,0.01572,0.05390,0.04515,-1.71443,-37791.38329,-0.16526,0.05119,0.00823,0.00178,0.00473,-0.05046,0.01152,0.06711,0.01308,0.12146,0.01645,0.00991,-4058648.85641,-0.01533,-0.00848,0.00144,0.24037,0.00295,0.00612,-0.01224,-0.00612,1981.03549,-0.30990,-0.00069,0.47262,0.00655,-0.81827,-0.14999,2.75048,-2885910.41688,0.00901,0.10259,-1.02760,0.02825,0.00148,-0.14650,0.12255,-0.00000,0.02040,11158843.01243,0.12863,0.11197,0.01075,0.06453,0.00006,0.00041,0.00059,-5.44806,-0.41731,-2.11274,-174331.17481,0.06386,0.10360,3700826.32952,0.01715,0.03126,0.01950,0.07501,-0.02123,0.07112,0.00672,0.00630,0.05848,124315.96846,-7327334.85459,-0.37019,-112642.95580,0.12295,0.07807,-233518.18272,0.02584,-0.27972,0.90305,0.04703,0.01971,0.04091,0.00621,0.00685,-0.00230,-0.06259,641842.77006,-1.33810,0.01084,0.10302,0.02679,-0.00156,-0.03886,0.01483,0.09177,0.00480,-0.00002,0.02696,-0.12277,0.04045,-0.05131,0.01254,-0.33774,-0.02315,0.19741,-0.01476,-5357139.34208,1.01612,-79672.42661,-0.00112,-1.58950,0.00141,0.01015,0.00516,0.00940,0.01422,-0.00000,-0.06282,-0.00171,-0.00492,0.02200,1133438.15745,-0.06520,-0.00017,-0.15976,0.00396,-9033.50723,0.00199,0.00316,0.00005,-7.42575,-0.00525,-0.00605,-0.02501,0.01393,-4055.06193,-0.08734,61.74958,0.06646,0.01069,0.00116,0.03207,0.11200,0.35911,-0.00000,0.01132,-23977143.21975,-0.05816,-0.23015,0.00575,-0.02595,0.85524,-0.00025,0.00078,0.01740,0.01132,0.00897,0.14650,0.03532,-0.00022,-0.00375,0.14176,0.00775
alpha_084,37359598.45773,1766246.09489,-247912489.90628,53351585.57564,29501791.96701,93908177.76004,1146691130043187.75000,132495399.30743,-4.38063,1069404801666.92456,-29071687696738160.00000,200024002.65948,2566643.97251,-165913708.78682,-224921.88306,22485632.27492,-597329055994109174936223723929172130622585871455757258937792908686891957874831633751434449004287423934587323128105551435930997514431995125296730918119839129974688536457966745602514124955942339197664826822353727637551721368306553234976085368557044640010959681952497515131261547727919849144320.00000,-6358168.38808,-5745866.40633,-765873807.34262,-31766232.86159,-213559.77839,154295006.13152,143048056.39443,1116810699.83775,-3998878359.56395,-3359808064012463.00000,-674012560.17839,1570212.47846,59118897.86505,6335473.75618,16607940.12770,-6375308.65324,-6994002.48594,39943011.48356,-8570447.91521,11690797957.22239,17125983.37751,29985528.50993,-86687265475247248.00000,-7090092.93918,-4350393.15518,5741910.40928,2844723382.02091,3473861.36797,36914788.40464,-73829576.74670,-36914788.31383,15281577892917.62891,-2885227104.02461,3393354.92528,13904289050.36585,15833702.74483,-3936074467.51170,-2873175778.92925,39741383650.67135,-99105066664331200.00000,7015445.55151,23940555.60122,-3441685473.02088,6211014.37776,2949231.38382,-309093528.46703,2165352986.84795,-2.00120,-526378990.12658,86733815504797856.00000,1351166801.04309,2345926742.20202,6654614.68038,18664859.35031,8732891.22972,-309658.55765,9006084.55149,-12493156628.97170,-2961673089.31474,-2689039819.54692,14604030289853494.00000,2013455676.23925,3700826.32952,279891043454765536.00000,10656366.44820,14302083.38777,14919434.82413,2523909254.26625,-57017798.14864,9398390.70870,186914.74475,-3537724.27754,389140245.83571,277769419178295168.00000,97017337272556368.00000,-3904672514.14549,7592098457875090.00000,116151550.82748,4594826.86858,7658522498561133.00000,8088804.72246,-369698128.49112,6367151933.45331,1571461.42070,31244390.85011,606449801.62739,-1861572.44360,2077587.74240,-14177667.02765,-11282239543.79976,118919983613558.70312,-7020128732.15992,14065993.82389,80569904.76257,-2450350.59980,30273912.64263,9301992822.02292,-6116364.19097,234827711.49719,12732658.99698,372225.09615,-2504158.88363,-67296702.16446,-10753613.62473,-1682411243.23674,300356442.01788,-3281954115.07377,-187965852.48742,28857074.05118,2730400.27720,182989852230999840.00000,12792960899.75949,5854029222729597.00000,9655626.26084,-766398087.92899,36770983.14850,23886573.22423,-5524318.82001,4234098.02267,3704241.61515,0.00069,-2312283191.00597,-6563975.05137,28581942.68006,49998898.09398,287465996045089888.00000,215234937.57774,1525872.65886,-1795454949.69756,4981806.62284,-590028696684346.62500,5660729.72429,-7540617.04142,1922593.74893,212044605579.57083,1007907.46056,-8171836.51785,-22016792.13730,2087096.89830,-14506844945976.63477,-20097314.61509,150966280539.15512,190875215.88306,28519601.35682,-5983785.79339,43096218.60743,88300915.44356,-2673138263.90556,-2.93797,20563282.37354,-2288243727048176640.00000,-35484878.83525,913932818.15054,3824855.17284,-4749857.23299,3111647160.66189,139138.89119,-7567880.64074,-30678490.39401,20563282.37354,477972.87302,-2429045697.35430,-100266065.18689,1712613.29185,-2914369.06036,1326154691.05563,2230254.61882
alpha_085,0.01831,0.01533,-0.30985,0.10542,0.00902,0.05861,608384.22057,0.20716,-0.00000,138.92708,-7903374.04117,0.51687,0.00960,-0.25730,-0.00033,0.01097,378434421832994003630391103236545578090258119572113729638985410410632574421344300341676876917237210458114160976880152718854820770460383359761467687907539226776916938107667813532575138228923659111516539277288325920128054092906462623860377592420477870027798360087347951308142389755904.00000,-0.00401,-0.00381,-0.42268,-0.00880,-0.00044,0.05651,0.24515,0.05829,-2.85250,-435848.17158,-0.27409,0.01129,0.04456,0.00273,0.00728,-0.01888,0.02588,0.07483,0.04448,1.54101,0.01947,0.01654,-13017141.24568,-0.03746,-0.01467,0.00233,0.32513,0.00437,0.00187,-0.00374,-0.00187,395.11346,-0.17968,0.01465,4.23266,0.01289,-0.97178,-0.26227,-0.80975,-5602615.70252,0.00765,0.03272,-1.44514,0.00606,0.00255,-0.25308,0.39880,-0.00000,-0.04874,8391293.01953,0.25931,0.16441,0.00125,0.02000,0.00083,-0.00006,0.00266,-7.13094,-0.77000,2.88157,334820.99048,0.11602,0.01715,10656366.44820,0.06377,0.01932,0.03355,0.33872,-0.02255,0.01652,0.01276,0.01391,-0.01099,12765606.95794,13644386.51749,-0.03142,228162.97787,0.20075,0.02125,490126.23739,0.01080,0.78246,0.61675,0.01809,0.01802,0.20663,0.01181,0.00311,0.00509,-1.40946,1312406.04094,-0.75400,0.01285,0.32155,0.00623,-0.00124,1.26403,0.00380,0.08754,0.00543,0.00000,0.00778,-0.19719,0.00537,0.18501,-0.09200,-0.27964,-0.10014,0.04901,-0.01952,23932789.95801,0.53128,239460.65984,0.00075,-2.32389,0.00485,0.02204,0.00304,0.01176,0.00809,0.00000,0.35100,-0.00105,-0.00343,0.01142,-8285304.74961,0.04386,0.00026,0.04143,0.00502,234114.64620,-0.00048,0.02566,-0.00048,26.43369,-0.01369,0.01528,-0.03157,0.02218,5166.14046,-0.02146,49.14236,-0.00392,-0.02863,-0.00060,0.07423,0.19538,0.13420,-0.00000,0.02600,-715505342.93244,-0.02891,0.51097,0.01056,-0.01093,2.04375,0.00000,-0.00151,-0.01499,0.02600,0.01702,-0.05832,-0.20175,0.00033,0.00379,5.05259,0.01719
alpha_086,0.09505,0.06982,-1.78065,0.07853,0.05204,0.20464,1876412.55973,1.04208,-0.00000,-4380.09593,-24473296.45441,4.51480,0.05499,-1.34990,-0.00098,0.03659,-3504666925945643663568566324649687706099037509997681338989772814814557202900965789386118224934126465255168318260619098998537125320202446692914558026759996548604516277055347165543727892529836796967116035355458038255223728151980606206021563464986593877772418222558619734447445956886528.00000,-0.01651,-0.01525,-1.93941,-0.22834,-0.00148,0.84075,1.01313,1.57945,-13.89982,-1805768.73488,-1.71917,0.03388,0.30380,0.01647,0.08872,-0.04863,0.10932,0.54206,0.08560,3.68662,0.10231,0.04845,-46522128.10050,-0.19129,-0.07892,0.01120,3.25477,0.02238,0.05975,-0.11950,-0.05975,7480.62373,-3.56699,0.05890,13.89488,0.08338,-8.60218,-0.75154,-190.29849,-11679413.00495,0.10178,0.04817,-6.57168,0.02763,0.00891,-0.91768,1.80938,-0.00000,-0.22155,97223695.96620,1.62647,1.72622,0.03598,0.06517,0.00219,-0.00243,0.02482,-33.86786,-3.60890,-10.68591,-4624625.04742,1.17188,0.03126,14302083.38777,0.01932,0.74108,0.15500,0.91531,-0.40982,0.05274,0.02482,0.05272,-1.17647,21071274.23648,61506901.99148,-5.95336,-491709.06376,0.95771,0.03568,-1898255.39430,0.00771,-1.87308,0.30018,0.02310,-0.00621,0.82397,0.01856,0.01651,-0.02997,-4.95915,1732232.77171,-12.40314,0.01841,0.80171,0.00833,0.04580,4.97709,0.00824,0.48951,0.08709,-0.00003,0.02029,-0.73628,0.55079,10.98326,-0.02556,-3.44048,-2.35221,0.11340,-0.04304,111504371.42352,3.02165,2408911.74895,-0.00304,-9.23945,0.11192,-0.00678,0.02467,0.01675,0.05672,0.00000,-2.84030,-0.03326,-0.02963,0.17667,341169821.21359,-0.02285,-0.00218,9.97007,0.01814,-858001.86426,0.02379,0.05865,0.00345,231.39085,-0.24030,0.40410,-0.16221,0.06442,9960.29241,0.02589,164.94911,-0.22840,0.10264,0.01775,0.17638,0.98061,-0.95805,-0.00000,0.09791,-1228862068.56944,-0.06878,9.02936,0.03259,-0.03076,7.14567,-0.00044,-0.00324,0.00575,0.09791,0.04684,0.49894,-2.62251,-0.00205,-0.01103,-8.17029,0.05154
alpha_087,0.06895,-0.00782,-1.04098,0.11444,0.03004,0.23179,616861.04649,0.68333,-0.00000,388.70346,-23598191.62004,2.35393,0.01334,-0.81457,-0.00026,0.02010,599731056535305471418018859834940816829443155548880232277987127639546683121981734875547430484899087553697959914086268015913901872214219081943263879232760912818550177536619314032379931505072575842602956801984449502524394414770856367232541995988872972898633162131730435486103218683904.00000,-0.01229,-0.01163,-1.35431,-0.09473,-0.00145,0.35682,0.53051,0.63327,-10.61947,-1337276.33837,-0.94088,0.03257,0.13243,0.00920,0.05870,-0.04380,0.07980,0.21421,0.09232,0.69945,0.09197,0.02918,-45643747.64853,-0.15216,-0.04208,0.00616,1.94318,0.01705,0.02604,-0.05207,-0.02604,-3921.13718,-1.54772,0.02272,6.73869,0.05936,-5.41925,-0.43897,9.49327,-11415929.02132,0.06631,0.02308,-4.18130,0.01865,0.00595,-0.60151,0.89628,-0.00000,-0.09666,23005937.14317,0.77014,0.87237,0.01781,0.04362,0.00123,-0.00023,0.01404,-22.82587,-2.03471,-7.61421,-306770.90575,0.50742,0.01950,14919434.82413,0.03355,0.15500,0.27629,0.43528,-0.18759,0.03208,0.01857,0.04778,0.22984,9746703.14643,-3255239.78799,-2.81914,316422.10999,0.43704,0.02682,-47495.20800,0.00724,-1.02776,-0.00600,0.01454,-0.00256,0.29533,0.01139,-0.00388,-0.01622,-2.26562,1075393.24960,-5.25280,0.00935,0.18842,0.00416,0.00141,2.15655,0.00060,0.26593,0.05599,-0.00007,0.00879,-0.15751,0.35000,0.09778,0.02003,-1.54834,-0.26965,0.08863,-0.02273,-31856067.10868,0.94582,1163628.00066,-0.00462,-3.58747,0.08378,0.01328,0.02344,0.01128,0.02800,-0.00000,-0.80573,-0.01172,-0.03073,0.10335,75819215.53004,-0.24066,-0.00122,-0.39916,0.00695,-600371.60800,0.01917,0.05786,0.00085,0.29433,-0.00888,-0.02300,-0.10695,0.02774,-894.82596,0.02258,195.27327,0.37971,0.05352,0.00909,0.14254,0.24803,0.15948,-0.00000,0.05142,-449792024.60664,-0.04175,1.61640,0.01092,-0.01693,4.57138,-0.00024,0.00055,0.02444,0.05142,0.01423,0.80625,0.17358,-0.00117,-0.00369,-5.15388,0.03523
alpha_088,1.17409,0.07743,-29.22878,1.44557,0.99404,2.84140,41945656.30899,18.31904,-0.00001,-49505.54475,-325394662.75243,179.42896,0.30998,-23.21232,-0.00997,0.73278,92892387109499784954536415658265792932016391976949942368951727613824893365042182773711459545957460775724692231363696293121804831539048028938785914168772912936344656683352048620238293609644246849151840247377212022895709812897845436734470580777546974166171114625030678205815281470668800.00000,-0.26222,-0.23156,-31.59561,-4.54894,-0.00686,22.18186,13.09139,47.39375,-119.97238,-43641777.88096,-27.84261,0.11599,5.32899,0.25924,0.55506,-0.15368,-0.23434,7.75775,-0.33969,253.35022,0.53453,1.02941,-751296056.48591,-0.22176,-0.14513,0.23574,87.41153,0.09806,1.20431,-2.40863,-1.20431,147751.13233,-61.78950,0.24239,2008.24725,0.54727,-120.28671,-63.72087,-1320.51891,-1203840059.78876,0.19809,0.78279,-109.10720,0.14936,0.12007,-12.66692,73.86260,-0.00001,-18.10645,2810234236.97334,56.80011,73.02668,0.36129,0.51179,0.21735,0.05717,0.25009,-403.54910,-97.35947,-66.19134,122953878.06954,62.89278,0.07501,2523909254.26625,0.33872,0.91531,0.43528,110.34092,-7.31569,0.24373,-0.01176,0.03625,-0.28260,2555952370.68778,3222192449.83676,-120.44387,65252057.07049,10.42918,0.09722,66417654.94995,0.29392,-12.29376,202.08641,0.06803,0.94409,87.57297,-0.06533,0.08643,-0.48678,-392.44741,161388.73209,-223.67292,0.55740,7.65878,-0.07530,4.39870,321.06730,-0.07917,7.53327,0.40749,0.01055,0.06656,-6.40533,0.18241,112.51211,12.01205,-95.17027,-65.87511,0.68200,0.04977,6720201031.94090,411.90340,84182938.78902,0.47490,-105.43859,1.04511,0.71464,-0.16227,0.15672,0.09392,0.00000,-81.90575,-0.15667,4.20129,1.76166,10338417219.11073,37.45525,0.06724,90.64390,0.35857,-4378714.33529,0.19594,-0.27573,0.07904,6860.16117,-5.42181,10.99343,-0.57509,0.03779,-18180.72361,-1.68637,2825.54850,-11.76388,0.89143,-0.89198,1.30122,6.18974,-94.88452,-0.00000,0.65987,-15610837160.93257,-1.18935,258.39512,0.14646,-0.08968,94.32769,0.00806,-0.10458,-1.17632,0.65987,0.02990,-87.46632,-92.89936,0.07697,-0.05830,49.59884,0.09004
